index,non-gendered,gendered,corrected,was_gendered
0,"Alan Smithee steht als Pseudonym für einen fiktiven Regisseur, der Filme verantwortet, bei denen der eigentliche Regisseur seinen Namen nicht mit dem Werk in Verbindung gebracht haben möchte.
","Alan Smithee steht als Pseudonym für einen fiktiven Regie, der Filme verantwortet, bei denen der eigentliche Regie seinen Namen nicht mit dem Werk in Verbindung gebracht haben möchte.
","Alan Smithee steht als Pseudonym für eine fiktive Regie, der Filme verantwortet, bei denen der eigentlichen Regie seinen Namen nicht mit dem Werk in Verbindung gebracht haben möchte.
",True
1,"Von 1968 bis 2000 wurde es von der Directors Guild of America (DGA) für solche Situationen empfohlen, seither ist es Thomas Lee.
","Von 1968 bis 2000 wurde es von der Directors Guild of America (DGA) für solche Situationen empfohlen, seither ist es Thomas Lee.
","Von 1968 bis 2000 wurde es von der Directors Guild of America (DGA) für solche Situationen empfohlen, seither ist es Thomas Lee.
",False
2,"Alan Smithee ist jedoch weiterhin in Gebrauch.
","Alan Smithee ist jedoch weiterhin in Gebrauch.
","Alan Smithee ist jedoch weiterhin in Gebrauch.
",False
3,"Alternative Schreibweisen sind unter anderem die Ursprungsvariante Allen Smithee sowie Alan Smythee und Adam Smithee.
","Alternative Schreibweisen sind unter anderem die Ursprungsvariante Allen Smithee sowie Alan Smythee und Adam Smithee.
","Alternative Schreibweisen sind unter anderem die Ursprungsvariante allen Smithee sowie Alan Smythee und Adam Smithee.
",False
4,"Auch zwei teilweise asiatisch anmutende Schreibweisen Alan Smi Thee und Sumishii Aran gehören – so die Internet Movie Database – dazu.
","Auch zwei teilweise asiatisch anmutende Schreibweisen Alan Smi Thee und Sumishii Aran gehören – so die Internet Movie Database – dazu.
","Auch zwei teilweise asiatisch anmutende Schreibweisen Alan Smi Thee und Sumishii Aran gehören – so die Internet Movie Database – dazu.
",False
5,"Das Pseudonym entstand 1968 infolge der Arbeiten am Western-Film Death of a Gunfighter (deutscher Titel Frank Patch – Deine Stunden sind gezählt).
","Das Pseudonym entstand 1968 infolge der Arbeiten am Western-Film Death of a Gunfighter (deutscher Titel Frank Patch – Deine Stunden sind gezählt).
","Das Pseudonym entstand 1968 infolge der Arbeiten am Western-Film Death of a Gunfighter (deutscher Titel Frank Patch – Deine Stunden sind gezählt).
",False
6,"Regisseur Robert Totten und Hauptdarsteller Richard Widmark gerieten in einen Streit, woraufhin Don Siegel als neuer Regisseur eingesetzt wurde.
","Regie Robert Totten und Hauptdarsteller Richard Widmark gerieten in einen Streit, woraufhin Don Siegel als neuer Regie eingesetzt wurde.
","Regie Robert Totten und Hauptdarsteller Richard Widmark gerieten in einen Streit, woraufhin Don Siegel als neuer Regie eingesetzt wurde.
",True
7,"Der Film trug nach Abschluss der Arbeiten noch deutlich Tottens Handschrift, der auch mehr Drehtage als Siegel daran gearbeitet hatte, weshalb dieser die Nennung seines Namens als Regisseur ablehnte.
","Der Film trug nach Abschluss der Arbeiten noch deutlich Tottens Handschrift, der auch mehr Drehtage als Siegel daran gearbeitet hatte, weshalb dieser die Nennung seines Namens als Regie ablehnte.
","Der Film trug nach Abschluss der Arbeiten noch deutlich Tottens Handschrift, der auch mehr Drehtage als Siegel daran gearbeitet hatte, weshalb dieser die Nennung seines Namens als Regie ablehnte.
",True
8,"Totten selbst lehnte aber ebenfalls ab.
","Totten selbst lehnte aber ebenfalls ab.
","Totten selbst lehnte aber ebenfalls ab.
",False
9,"Als Lösung wurde  Allen Smithee als ein möglichst einzigartiger Name gewählt (bei der späteren Variante Alan Smithee war das Anagramm The Alias Men vermutlich kein Entstehungsgrund).
","Als Lösung wurde  Allen Smithee als ein möglichst einzigartiger Name gewählt (bei der späteren Variante Alan Smithee war das Anagramm The Alias Men vermutlich kein Entstehungsgrund).
","Als Lösung wurde allen Smithee als ein möglichst einzigartiger Name gewählt (bei der späteren Variante Alan Smithee war das Anagramm The Alias Men vermutlich kein Entstehungsgrund).
",False
