index,gendered,inclusive_form
0,Wanja ist auf Reisen immer einE AbenteurIn,"Wanja, die Person, die auf Reisen geht und Abenteuer erlebt, ist unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder einer anderen Identität, stets eine Abenteurerin, ein Abenteurer oder eine abenteuerliche Person, die neugierig und begeisterungsfähig die Welt erkundet."
1,Die abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,"Die Person, die als Abgeordnete oder Abgeordneter für die Antidiskriminierungsstelle tätig ist, ist gerade angekommen. Diese Person könnte sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und repräsentiert somit die Vielfalt an Geschlechtsidentitäten in ihrer Rolle."
2,Thapelo ist eine Abitur ablegende Person,"Thapelo ist eine Person, die das Abitur ablegt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
3,"Wir haben eineN super AbnehmerIn gefunden, seitdem verkauft sich alles besser.","Wir haben eine Person gefunden, die als Abnehmer*in für unsere Produkte fungiert, unabhängig davon, ob diese Person sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert. Seitdem haben sich unsere Verkaufszahlen erheblich verbessert und die Nachfrage nach unseren Angeboten ist gestiegen."
4,Missymagazin sucht eine_n Abonnent_in,"Das Missymagazin sucht eine Person, die Interesse daran hat, das Magazin zu abonnieren, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Wir heißen alle Menschen willkommen, die das Magazin unterstützen und sich mit unseren Inhalten identifizieren, ganz gleich, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität verstehen."
5,Influencer:innen haben ganz viele Abonnent:innen,"Influencerinnen, Influencer und all jene Personen, die in den sozialen Medien aktiv sind und deren Geschlechtsidentität möglicherweise nicht den traditionellen Kategorien entspricht, haben eine Vielzahl an Abonnentinnen, Abonnenten und Followern, die ihre Inhalte verfolgen und unterstützen."
6,Dieser Brief hat als Absender:in Katharinal Patil,"'Dieser Brief hat als Absenderin, Absender und als Person, die sich möglicherweise außerhalb der traditionellen Geschlechtskategorien identifiziert, Katharina Patil, eine Person, die in einer professionellen oder persönlichen Rolle mit dem Schreiben und Versenden von Briefen beschäftigt ist.'"
7,Wir haben eine große Anzahl an Absolvent:innen,"Wir haben eine große Anzahl an Absolventinnen, Absolventen und all denjenigen Personen, die an einer akademischen oder beruflichen Ausbildung teilgenommen haben und sich mit verschiedenen Geschlechtsidentitäten identifizieren. Dies schließt Menschen ein, die sich als nicht-binär, genderqueer, genderfluid oder auf andere Weise außerhalb der traditionellen Geschlechtskategorien identifizieren, sowie solche, die sich in einem Geschlecht, das in der Gesellschaft als männlich oder weiblich verstanden wird, verorten."
8,Dier AbteilungsleiterIn hat uns allen einen Termin reingesetzt,"Die Person, die die Leitung der Abteilung übernommen hat und sich dabei als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, hat uns allen einen Termin in den Kalender eingetragen."
9,Ich bin die Abteilungsleitung.,"'Ich bin die Person, die die Abteilungsleitung innehat, unabhängig davon, ob ich mich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziere. In dieser Rolle repräsentiere ich nicht nur eine spezifische Geschlechtsidentität, sondern auch die Vielfalt der Menschen, die in unserer Abteilung arbeiten und deren Geschlechtsidentität unterschiedlich sein kann.'"
10,Ich bin AdministratorIn,"'Ich bin eine Person, die die Rolle eines Administrators oder einer Administratorin einnimmt, unabhängig davon, ob ich mich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziere. Diese Rolle umfasst verschiedene Aufgaben, die darauf abzielen, die Verwaltung und Organisation einer Einrichtung oder einer technischen Infrastruktur zu unterstützen.'"
11,Ohne die AdministratorInnen wären wir schon längst aufgeschmissen,"Ohne die Personen, die die Administratorinnen, Administratoren und alle anderen, die in dieser Funktion tätig sind, vertreten, wären wir bereits in einer sehr schwierigen Lage. Diese Personen spielen eine entscheidende Rolle, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität verstehen."
12,Die Nachricht hat mich als Adressat/in,"'Die Nachricht hat mich als Adressat, Adressatin oder als Person, die in einer anderen Geschlechtsidentität lebt und die sich in diesem Kontext relevante angesprochen fühlt, erreicht, unabhängig von den traditionellen Geschlechterkategorisierungen.'"
13,Jasper steht unter Verdacht eine auskundschaftende Person zu sein,"Jasper, eine Person, die sich möglicherweise als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, steht unter dem Verdacht, eine Person zu sein, die die Umgebung beobachtet und Informationen über andere Personen sammelt, ohne dass diese dies bemerken."
