index,gendered,inclusive_form
534,Das Expert/innenrating bescheinigte dem Unternehmen hohe Qualität.,"Das Expertinnen- und Expertenrating, das von Fachpersonen aus unterschiedlichen Bereichen und mit verschiedenen Geschlechtsidentitäten erstellt wurde, bescheinigte dem Unternehmen eine hohe Qualität. Dabei wurden die Meinungen und Bewertungen von Personen, die sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, berücksichtigt, um ein umfassendes und vielfältiges Bild der Expertise zu gewährleisten."
484,Die Einwander:infamilien wurden herzlich in der neuen Gemeinde begrüßt.,"'Die Familien von Einwandernden, die aus verschiedenen Ländern und Kulturen stammen und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren können, wurden herzlich in der neuen Gemeinde empfangen und willkommen geheißen.'"
1951,Gemeinsam mit meinen WeggefährtInnen durchquerte ich das Land auf der Suche nach Abenteuern.,"'Gemeinsam mit meinen Weggefährtinnen, Weggefährten und allen anderen Personen, die mich auf diesem Abenteuer begleiten und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, durchquerte ich das Land auf der Suche nach aufregenden Erlebnissen und neuen Entdeckungen.'"
1344,"Dier Physiotherapeut:in half dem, sich nach der Operation zu erholen.","Die Person, die als Physiotherapeut oder Physiotherapeutin arbeitet und Menschen dabei unterstützt, sich nach einer Operation zu erholen, half dem Patienten, der Patientin oder jeder weiteren Person, die nach der Operation Rehabilitation benötigt, unabhängig von deren Geschlechtsidentität, sich wieder fit zu fühlen und ihre Mobilität zurückzugewinnen."
46,... Antragsteller*innen werden in Kürze benachrichtigt.,"Die Personen, die einen Antrag gestellt haben, unabhängig davon, ob sie sich als Antragsteller, Antragstellerin oder mit einer anderen Geschlechtsidentität identifizieren, werden in Kürze benachrichtigt."
1984,"Dier Zuhörer:in musste sich nicht anstrengen, zuzuhören.","Die Person, die diesem Vortrag oder dieser Präsentation aufmerksam zuhört, ist in der Lage, der Rede zu folgen, ohne sich besonders anstrengen zu müssen, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definiert oder identifiziert."
191,"Die zum Sprechen animierende Person ermutigt Ben, deren Gedanken zu teilen.","Die Person, die dazu anregt, das gesprochene Wort zu verwenden und sich auszudrücken, ermutigt Ben sowie alle anderen, die möglicherweise unterschiedliche Geschlechtsidentitäten haben oder verschiedene Ausdrucksformen bevorzugen, ihre Gedanken und Gefühle zu teilen. Dabei ist es gleichgültig, ob die Personen sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren; alle sind herzlich eingeladen, ihre Perspektiven einzubringen."
1615,Der Film zeigte die Geschichte einer schwangeren Person.,"Der Film präsentierte die Geschichte einer Person, die schwanger ist, und berücksichtigte dabei die Vielfalt der Geschlechtsidentitäten, indem er nicht nur schwangere Frauen in den Fokus stellte, sondern auch Menschen, die sich als trans, nicht-binär oder genderqueer identifizieren und dennoch das Erlebnis der Schwangerschaft machen können."
1066,Dier Lastkraftwagenfahrer/in lieferte die Waren pünktlich an die verschiedenen Supermärkte.,"Die Person, die als Lastkraftwagenfahrer oder Lastkraftwagenfahrerin tätig ist, und sich möglicherweise auch außerhalb der traditionellen Geschlechterkategorien identifiziert, hat die Waren pünktlich an die verschiedenen Supermärkte geliefert. Dabei möchte ich betonen, dass sowohl diejenigen, die als männlich oder weiblich wahrgenommen werden, als auch alle anderen Geschlechtsidentitäten, die sich mit Begriffen wie non-binär, genderfluid oder agender identifizieren, in dieser Beschreibung mit einbezogen sind."
432,Dier DrittanbieterIn stellte zusätzliche Softwarelösungen bereit.,"Die Person, die als Drittanbieterin oder Drittanbieter tätig ist, hat zusätzliche Softwarelösungen bereitgestellt. Diese Person kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und bietet Unternehmen oder Einzelpersonen vielfältige technische Unterstützung und Lösungen an, die auf verschiedene Bedürfnisse und Anforderungen zugeschnitten sind."
1650,Dey kümmerte sich stiefelterlich um die Kinder.,"'Die Person, die in einer verantwortungsvollen Rolle für die Betreuung und Erziehung der Kinder sorgt, agiert auf eine unterstützende und fürsorgliche Weise, unabhängig von ihrer Geschlechtsidentität oder ihrer Beziehung zu den Kindern, sei es als biologischer Elternteil, Adoptivelternteil, Pflegeelternteil oder in einer anderen Bezugspersonenrolle.'"
1616,Dier Schwimmlehrer:in brachte den Kindern das Tauchen bei.,"Die Person, die als Schwimmlehrer oder Schwimmlehrerin arbeitet und somit die Verantwortung für das Unterrichten und das Fördern von Schwimmfähigkeiten bei Kindern trägt, brachte den jungen Schwimmerinnen, Schwimmern und allen anderen Kinder, die an diesem Schwimmunterricht teilnehmen und sich möglicherweise mit einer Vielzahl von Geschlechtsidentitäten identifizieren, das Tauchen bei."
