inclusive_form,gendered,predicted
"Die Person, die als Reservist oder Reservistin dient, wurde für eine kurze Zeit wieder in den aktiven Dienst einberufen. Diese Person kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren und trägt zur Unterstützung der Streitkräfte bei, unabhängig von den traditionellen Geschlechterkategorien.",Dier Reservist/in wurde für eine kurze Zeit wieder in den Dienst einberufen.,"Die Person, die als Reservist oder Reservist dient, wurde für eine kurze Zeit wieder in den aktiven Dienst einberufen. Diese Person kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren und trägt zur Unterstützung der Streitkräfte bei, unabhängig von den traditionellen Geschlechterkategorien. Diese Person kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, unabhängig von den traditionellen Geschlechterkategorien."
"Das Passagierflugzeug, welches von einer Vielzahl an Personen genutzt wurde, unabhängig davon, ob diese sich als weiblich, männlich oder mit einer anderen Geschlechtsidentität identifizieren, landete sicher am Zielflughafen nach einem langen Flug.",Das Passagier_influgzeug landete sicher am Zielflughafen nach einem langen Flug.,"Das Passagierflugzeug, which sowohl an Personen genutzt wurde, unabhängig davon, ob diese sich als weiblich, männlich oder mit einer anderen Geschlechtsidentität identifizieren, landete sicher am Zielflughafen nach einem langen Flug. Das Passagierflugzeug, welches von einer Vielzahl an Personen genutzt wurde, unabhängig davon, ob diese sich als weiblich, männlich oder mit einer anderen Geschlechtsidentität identifizieren, landete sicher am Zielflughafen nach einem langen Flug."
"Die Person, die den Lehrstuhl innehat, veröffentlicht regelmäßig Artikel in renommierten Fachzeitschriften, unabhängig davon, ob diese Person sich als Frau, Mann oder mit einer anderen Geschlechtsidentität versteht. Es handelt sich hierbei um eine akademische Fachkraft, die in ihrem jeweiligen Forschungsfeld tätig ist und zur wissenschaftlichen Diskussion beiträgt.",Dier LehrstuhlinhaberIn veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,"Die Person, die den Lehrstuhl innehat, veröffentlicht regelmäßig Artikel in renomierten Fachzeitschriften, unabhängig davon, ob diese Person sich als Frau, Mann oder mit einer anderen Geschlechtsidentität versteht. Es handelt sich hierbei um eine akademische Fachkraft, die in ihrem jeweiligen Forschungsfeld tätig ist und zur wissenschaftlichen Diskussion beiträgt. Es handelt sich hierbei um eine akademische Fachkraft, die in ihrem jeweiligen Forschungsfeld tätig ist und zur wissenschaftlichen Diskussion beiträgt."
"Die Person, die gerne campt, verbringt viel Zeit in der Natur und erfreut sich am Zelten auf dem Zeltplatz, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person schätzt die Erfahrungen, die die Natur bietet, und findet Freude daran, in einem Zelt zu übernachten, die frische Luft zu genießen und die Schönheit der Umgebung zu erkunden, ungeachtet ihrer individuellen Geschlechtsidentität oder ihres persönlichen Hintergrundes.",Die campende Person verbringt gerne Zeit in der Natur und genießt das Zelten auf dem Zeltplatz.,"Die Person, die gerne campt, verbringt viel Zeit in der Natur und erfreut sich am Zelten auf dem Zeltplatz, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person schätzt die Erfahrungen, die die Natur bietet, und findet Freude daran, in einem Zelt zu übernachten, die frische Luft zu genießen und die Schönheit der Umgebung zu erkunden, ungeachtet ihrer individuellen Geschlechtsidentität oder ihres persönlichen Hintergrundes."
"Die Person, die als Kontrahent oder Kontrahentin im Schachturnier teilgenommen hat und die möglicherweise eine Vielzahl von Geschlechtsidentitäten verkörpert—einschließlich, aber nicht beschränkt auf männliche, weibliche und nicht-binäre Identitäten—gab nach einem intensiven und spannenden Spiel schließlich auf.","Dier Kontrahent_in im Schachturnier gab nach einem intensiven Spiel schließlich auf.
","Die Person, die als Kontrahent oder Kontrahentin im Schachturnier teilgenommen teilgenommen hat und die möglicherweise eine Vielzahl von Geschlechtsidentitäten verkörpert, aber nicht beschränkt auf männliche, weibliche und nicht-binäre Identitäten, gab nach einem intensiven und spannenden Spiel teilgenommen. Dabei spielt es sich um die individuellen Erfahrungen und Erfahrungen zu schätzen, dass die individuellen Erfahrungen und Erfahrungen unserer Person in der Schachturnier hat, aber nicht beschränkt auf männliche, weibliche und nicht-binäre Identitäten identifizieren."
"Die Firma ist auf der Suche nach Rückmeldungen von allen Personen, die ihre Produkte regelmäßig verwenden, unabhängig davon, ob sie sich als weiblich, männlich oder mit einer anderen Geschlechtsidentität identifizieren. Dies schließt also sowohl Frauen, Männer als auch nicht-binäre Menschen, genderqueere Personen und alle weiteren Geschlechtsidentitäten ein, die ihre Erfahrungen und Meinungen zu den Produkten mitteilen möchten.",Die Firma sucht nach Feedback von regelmäßigen Verwender*innen ihrer Produkte.,"Die Firma ist auf der Suche nach Rückmeldungen von allen Personen, die ihre Produkte regelmäßig verwenden, unabhängig davon, ob sie sich als weiblich, männlich oder mit einer anderen Geschlechtsidentität identifizieren. Diese schließt auch Frauen, Männer als nicht-binäre Menschen, genderqueere Personen und alle weiteren Geschlechtsidentitäten ein, die ihre Erfahrungen und Meinungen zu den Produkten mitteilen möchten. Diese schließt auch Frauen, Männer als nicht-binäre Personen, genderqueere Personen und alle weiteren Geschlechtsidentitäten ein, die ihre Erfahrungen und Meinungen zu den Produkten mitteilen möchten."
"'Bitte wenden Sie sich an eine Person, die in der medizinischen oder pharmazeutischen Fachrichtung tätig ist, egal ob diese Person sich als Arzt, Ärztin oder in einer anderen Geschlechtsidentität versteht, sowie an eine Person, die in einer Apotheke arbeitet, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, um Ihre Fragen zu klären.'",... Fragen Sie IhreN ÄrztIn oder ApothekerIn.,"'Bitte wenden Sie sich an eine Person, die in der medizinischen oder pharmazeutischen Fachrichtung tätig ist, unabhängig davon, ob diese Person sich als Arzt, Arzt oder in einer anderen Geschlechtsidentität versteht, versteht, sowie an eine Person, die in einer Apotheke arbeitet, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, um Ihre Fragen zu klären.'"
"Die Person, die als Versuchsleiter oder Versuchsleiterin fungiert, erläuterte allen Teilnehmenden, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, die nächsten Schritte des Experiments. Die Erklärung richtete sich somit an alle, die an dem Versuch teilnehmen, und berücksichtigte verschiedene Identitäten und Ausdrucksformen, um ein inklusives und respektvolles Umfeld für jede Person zu schaffen.",Dier Versuchsleiter/in erklärte den Teilnehmer/innen die nächsten Schritte des Experiments.,"Die Person, die als Versuchsleiter oder Versuchsleiterin fungiert, erläutert allen Teilnehmenden, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, die nächsten Schritte des Experiments. Die Erklärung richtet sich somit an alle, die an dem Versuch teilnehmen, berücksichtigt verschiedene Identitäten und Ausdrucksformen, um ein inklusives und respektvolles Umfeld für jede Person zu schaffen."
"„Der Kreis der Personen, an die ich mich wende, umfasst eine Vielzahl von Menschen unterschiedlichen Geschlechts, einschließlich Männern, Frauen und allen weiteren Personen, die sich außerhalb der traditionellen Geschlechterkategorien identifizieren, und ist somit sehr groß.“",Mein Adressat:innenkreis ist groß.,"„Der Kreis der Personen, an die ich mich wende, umfasst eine Vielzahl von unterschiedlichen Geschlechtsidentitäts, einschließlich Männern, Frauen und all weiteren Personen, die sich außerhalb der traditionellen Geschlechterkategorien identifizieren, die sich außerhalb der traditionellen Geschlechterkategorien identifizieren, und ist somit sehr groß.“"
"Medien und politische Beobachterinnen, Beobachter, sowie sämtliche Personen, die in der Analyse und Beobachtung von politischen Geschehnissen tätig sind und sich mit verschiedenen Geschlechtsidentitäten identifizieren, gehen von zwei möglichen Szenarien aus. Dabei werden alle Perspektiven und Erfahrungen berücksichtigt, unabhängig davon, ob die betreffenden Personen sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten definieren.",Medien und politische BeobachterInnen gehen von zwei möglichen Szenarien aus.,"Dabei werden alle Perspektiven und Erfahrungen berücksichtigt, unabhängig davon, ob die betreffenden Personen sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten definieren. Dabei werden alle Perspektiven und Erfahrungen berücksichtigt, unabhängig davon, ob die betreffenden Personen sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten definieren."
