gendered,male,female,enhanced,index
Wanja ist auf Reisen immer einE AbenteurIn,Wanja ist auf Reisen immer ein Abenteurer,Wanja ist auf Reisen immer eine Abenteurin,"Wanja ist auf Reisen immer eine Person, die abenteuerlustig ist und neue Erfahrungen sucht, unabhängig davon, wie sie sich geschlechtlich identifiziert, ob als Frau, Mann oder einer anderen geschlechtlichen Identität.",0
Die abgeordnete Person für die Antidiskriminierungsstelle ist gerade angekommen,Der Abgeordnete für die Antidiskriminierungsstelle ist gerade angekommen,Die Abgeordnete für die Antidiskriminierungsstelle ist gerade angekommen,"Die abgeordnete Person, die für die Antidiskriminierungsstelle zuständig ist, ist gerade angekommen. Dabei handelt es sich um eine Person, unabhängig von deren Geschlechtsidentität, ob sie sich als Frau, Mann oder als eine andere Geschlechtsidentität versteht.",1
Thapelo ist eine Abitur ablegende Person,Thapelo ist ein Abiturient,Thapelo ist eine Abiturientin,"Thapelo ist eine Person, die das Abitur ablegt, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",2
"Wir haben eineN super AbnehmerIn gefunden, seitdem verkauft sich alles besser.","Wir haben einen super Abnehmer gefunden, seitdem verkauft sich alles besser","Wir haben eine super Abnehmerin gefunden, seitdem verkauft sich alles besser","Wir haben eine Person, die das Produkt oder die Dienstleistung abnimmt, unabhängig von deren geschlechtlicher Identität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, gefunden. Seitdem hat sich der Verkauf unserer Angebote deutlich verbessert und erfährt eine positive Entwicklung.",3
Missymagazin sucht eine_n Abonnent_in,Missymagazin sucht einen Abonnent,Missymagazin sucht eine Abonnentin,"Das Missymagazin sucht eine Person, die das Magazin abonniert, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person, die sich außerhalb der klassischen Geschlechterkategorien identifiziert oder eine nicht-binäre Geschlechtsidentität hat.",4
Influencer:innen haben ganz viele Abonnent:innen,Influencer haben ganz viele Abonnenten,Influencerinnen haben ganz viele Abonnentinnen,"Influencerinnen, Influencer und Personen mit anderen geschlechtlichen Identitäten, die in den sozialen Medien aktiv sind und Inhalte produzieren, haben eine große Anzahl an Abonnentinnen, Abonnenten sowie weiteren Interessierten, die ihre Beiträge verfolgen, unabhängig von deren Geschlechtsidentität oder Art der Selbstdefinition.",5
Dieser Brief hat als Absender:in Katharinal Patil,Dieser Brief hat als Absender Katharinal Patil,Dieser Brief hat als Absenderin Katharinal Patil,"Dieser Brief hat als Absenderin, Absender und Person mit einer anderen geschlechtlichen Identität Katharinal Patil.",6
Wir haben eine große Anzahl an Absolvent:innen,Wir haben eine große Anzahl an Absolventen ,Wir haben eine große Anzahl an Absolventinnen,"Wir haben eine große Anzahl an Absolventinnen, Absolventen und Personen mit anderen geschlechtlichen Identitäten, die ihr Studium erfolgreich abgeschlossen haben und nun als Absolventen in ihrer jeweiligen Fachrichtung anerkannt werden.",7
Dier AbteilungsleiterIn hat uns allen einen Termin reingesetzt,Der Abteilungsleiter hat uns alle einen Termin reingesetzt,Die Abteilungsleiterin hat uns allen einen Termin reingesetzt,"Die Abteilungsleiterin, der Abteilungsleiter und Personen mit anderen geschlechtlichen Identitäten, die die Leitung der Abteilung innehaben, haben allen Mitarbeiterinnen, Mitarbeitern und weiteren Personen, die in der Abteilung tätig sind, einen Termin festgelegt, um gemeinsame Angelegenheiten zu besprechen.",8
Ich bin die Abteilungsleitung.,Ich bin der Abteilungsleiter.,Ich bin die Abteilungsleiterin.,"Ich bin die Person, die die Abteilungsleitung innehat, unabhängig von Geschlecht oder Geschlechtsidentität. Dies umfasst Frauen, Männer und Personen, die sich als nicht-binär, genderfluid oder auf andere Weise identifizieren.",9
